x,y,color,condition
162,0.2,Bias 1,baseline
163,0.2,Bias 1,baseline
164,0.4,Bias 1,baseline
165,0.2,Bias 1,baseline
166,0.2,Bias 1,baseline
167,0.4,Bias 1,baseline
168,0.2,Bias 1,baseline
169,0.4,Bias 1,baseline
170,0.4,Bias 1,baseline
171,0.2,Bias 1,baseline
172,0.2,Bias 1,baseline
173,0.6,Bias 1,baseline
174,0.2,Bias 1,baseline
175,0.6,Bias 1,baseline
176,0.4,Bias 1,baseline
177,0.4,Bias 1,baseline
178,0.4,Bias 1,baseline
179,0.2,Bias 1,baseline
180,0.4,Bias 1,baseline
181,0.2,Bias 1,baseline
182,0.2,Bias 1,baseline
183,0.2,Bias 1,baseline
184,0.4,Bias 1,baseline
185,0.4,Bias 1,baseline
186,0.2,Bias 1,baseline
187,0.4,Bias 1,baseline
188,0.4,Bias 1,baseline
189,0,Bias 1,baseline
190,0.6,Bias 1,baseline
191,0.4,Bias 1,baseline
192,0.2,Bias 1,baseline
193,0,Bias 1,baseline
194,0.2,Bias 1,baseline
195,0.2,Bias 1,baseline
196,0.6,Bias 1,baseline
197,0.4,Bias 1,baseline
198,0,Bias 1,baseline
199,0.2,Bias 1,baseline
200,0.4,Bias 1,baseline
201,0.4,Bias 1,baseline
202,0.2,Bias 1,baseline
203,0.6,Bias 1,baseline
204,0.2,Bias 1,baseline
205,0.4,Bias 1,baseline
206,0,Bias 1,baseline
207,0.6,Bias 1,baseline
208,0.6,Bias 1,baseline
209,0.4,Bias 1,baseline
210,0,Bias 1,baseline
211,0.2,Bias 1,baseline
212,0.4,Bias 1,baseline
213,0.4,Bias 1,baseline
214,0,Bias 1,baseline
215,0.4,Bias 1,baseline
216,0.6,Bias 1,baseline
217,0.4,Bias 1,baseline
218,0.2,Bias 1,baseline
219,0.2,Bias 1,baseline
220,0.2,Bias 1,baseline
221,0.2,Bias 1,baseline
222,0.6,Bias 1,baseline
223,0.4,Bias 1,baseline
224,0.2,Bias 1,baseline
225,0.4,Bias 1,baseline
226,0.2,Bias 1,baseline
227,0.2,Bias 1,baseline
228,0,Bias 1,baseline
229,0.2,Bias 1,baseline
230,0,Bias 1,baseline
231,0.4,Bias 1,baseline
232,0.4,Bias 1,baseline
233,0.2,Bias 1,baseline
234,0,Bias 1,baseline
235,0,Bias 1,baseline
236,0.4,Bias 1,baseline
237,0.4,Bias 1,baseline
238,0.2,Bias 1,baseline
239,0,Bias 1,baseline
240,0.2,Bias 1,baseline
241,0.2,Bias 1,baseline
242,0.4,Bias 1,baseline
243,0.4,Bias 1,baseline
244,0.4,Bias 1,baseline
245,0.6,Bias 1,baseline
246,0.4,Bias 1,baseline
247,0.2,Bias 1,baseline
248,0,Bias 1,baseline
249,0.2,Bias 1,baseline
250,0.4,Bias 1,baseline
251,0.4,Bias 1,baseline
252,0.2,Bias 1,baseline
253,0,Bias 1,baseline
254,0.4,Bias 1,baseline
255,0.4,Bias 1,baseline
256,0.4,Bias 1,baseline
257,0.2,Bias 1,baseline
258,0.6,Bias 1,baseline
259,0.4,Bias 1,baseline
260,0.2,Bias 1,baseline
261,0.2,Bias 1,baseline
262,0.2,Bias 1,baseline
263,0.6,Bias 1,baseline
264,0.2,Bias 1,baseline
265,0.2,Bias 1,baseline
266,0.2,Bias 1,baseline
267,0.2,Bias 1,baseline
268,0.6,Bias 1,baseline
269,0,Bias 1,baseline
270,0.4,Bias 1,baseline
271,0.4,Bias 1,baseline
272,0,Bias 1,baseline
273,0.2,Bias 1,baseline
274,0.6,Bias 1,baseline
275,0.2,Bias 1,baseline
276,0.4,Bias 1,baseline
277,0.4,Bias 1,baseline
278,0.6,Bias 1,baseline
279,0.4,Bias 1,baseline
280,0.2,Bias 1,baseline
281,0.2,Bias 1,baseline
282,0.4,Bias 1,baseline
283,0.2,Bias 1,baseline
284,0.2,Bias 1,baseline
285,0,Bias 1,baseline
286,0.4,Bias 1,baseline
287,0.4,Bias 1,baseline
288,0.2,Bias 1,baseline
289,0.2,Bias 1,baseline
290,0.2,Bias 1,baseline
291,0.2,Bias 1,baseline
292,0,Bias 1,baseline
293,0.4,Bias 1,baseline
294,0.2,Bias 1,baseline
295,0.4,Bias 1,baseline
296,0.2,Bias 1,baseline
297,0.6,Bias 1,baseline
298,0.4,Bias 1,baseline
299,0,Bias 1,baseline
300,0.2,Bias 1,baseline
301,0.2,Bias 1,baseline
302,0.2,Bias 1,baseline
303,0.6,Bias 1,baseline
304,0.4,Bias 1,baseline
305,0.2,Bias 1,baseline
306,0.2,Bias 1,baseline
307,0.4,Bias 1,baseline
308,0.4,Bias 1,baseline
309,0.6,Bias 1,baseline
310,0.4,Bias 1,baseline
311,0.2,Bias 1,baseline
312,0,Bias 1,baseline
313,0,Bias 1,baseline
314,0.4,Bias 1,baseline
315,0.2,Bias 1,baseline
316,0.2,Bias 1,baseline
317,0.4,Bias 1,baseline
318,0.4,Bias 1,baseline
319,0.2,Bias 1,baseline
320,0,Bias 1,baseline
321,0.4,Bias 1,baseline
322,0.2,Bias 1,baseline
323,0.4,Bias 1,baseline
324,0.4,Bias 1,baseline
325,0.6,Bias 1,baseline
326,0,Bias 1,baseline
327,0.6,Bias 1,baseline
328,0.6,Bias 1,baseline
329,0.6,Bias 1,baseline
330,0.4,Bias 1,baseline
331,0.4,Bias 1,baseline
332,0.2,Bias 1,baseline
333,0.4,Bias 1,baseline
334,0.2,Bias 1,baseline
335,0.2,Bias 1,baseline
336,0.6,Bias 1,baseline
337,0.2,Bias 1,baseline
338,0,Bias 1,baseline
339,0.2,Bias 1,baseline
340,0.2,Bias 1,baseline
341,0.4,Bias 1,baseline
342,0.2,Bias 1,baseline
343,0.2,Bias 1,baseline
344,0,Bias 1,baseline
345,0.4,Bias 1,baseline
346,0.4,Bias 1,baseline
347,0,Bias 1,baseline
348,0.4,Bias 1,baseline
349,0.2,Bias 1,baseline
350,0.2,Bias 1,baseline
351,0.2,Bias 1,baseline
352,0.4,Bias 1,baseline
353,0.4,Bias 1,baseline
354,0.6,Bias 1,baseline
355,0.2,Bias 1,baseline
356,0,Bias 1,baseline
357,0.4,Bias 1,baseline
358,0.2,Bias 1,baseline
359,0.2,Bias 1,baseline
360,0,Bias 1,baseline
361,0.6,Bias 1,baseline
362,0,Bias 1,baseline
363,0.4,Bias 1,baseline
364,0.2,Bias 1,baseline
365,0.4,Bias 1,baseline
366,0,Bias 1,baseline
367,0.2,Bias 1,baseline
368,0.2,Bias 1,baseline
369,0.2,Bias 1,baseline
370,0.2,Bias 1,baseline
371,0.6,Bias 1,baseline
372,0.6,Bias 1,baseline
373,0.6,Bias 1,baseline
374,0.4,Bias 1,baseline
375,0.4,Bias 1,baseline
376,0.2,Bias 1,baseline
377,0.4,Bias 1,baseline
378,0.6,Bias 1,baseline
379,0.6,Bias 1,baseline
380,0.2,Bias 1,baseline
381,0.6,Bias 1,baseline
382,0.4,Bias 1,baseline
383,0.4,Bias 1,baseline
384,0.4,Bias 1,baseline
385,0,Bias 1,baseline
386,0.2,Bias 1,baseline
387,0.4,Bias 1,baseline
388,0.4,Bias 1,baseline
389,0.4,Bias 1,baseline
390,0.2,Bias 1,baseline
391,0.2,Bias 1,baseline
392,0.6,Bias 1,baseline
393,0.2,Bias 1,baseline
394,0.4,Bias 1,baseline
395,0.6,Bias 1,baseline
396,0.2,Bias 1,baseline
397,0.6,Bias 1,baseline
398,0.2,Bias 1,baseline
399,0.2,Bias 1,baseline
400,0.4,Bias 1,baseline
0,0.4,Bias 2,baseline
1,0,Bias 2,baseline
2,0.4,Bias 2,baseline
3,0.2,Bias 2,baseline
4,0,Bias 2,baseline
5,0.2,Bias 2,baseline
6,0.2,Bias 2,baseline
7,0.2,Bias 2,baseline
8,0.4,Bias 2,baseline
9,0.2,Bias 2,baseline
10,0,Bias 2,baseline
11,0.6,Bias 2,baseline
12,0.2,Bias 2,baseline
13,0.2,Bias 2,baseline
14,0.6,Bias 2,baseline
15,0.2,Bias 2,baseline
16,0.6,Bias 2,baseline
17,0.2,Bias 2,baseline
18,0.2,Bias 2,baseline
19,0.2,Bias 2,baseline
20,0.2,Bias 2,baseline
21,0.6,Bias 2,baseline
22,0.4,Bias 2,baseline
23,0.4,Bias 2,baseline
24,0,Bias 2,baseline
25,0.4,Bias 2,baseline
26,0.6,Bias 2,baseline
27,0.2,Bias 2,baseline
28,0.2,Bias 2,baseline
29,0,Bias 2,baseline
30,0.8,Bias 2,baseline
31,0.4,Bias 2,baseline
32,0.2,Bias 2,baseline
33,0.4,Bias 2,baseline
34,0.4,Bias 2,baseline
35,0.4,Bias 2,baseline
36,0.2,Bias 2,baseline
37,0.4,Bias 2,baseline
38,0,Bias 2,baseline
39,0.2,Bias 2,baseline
40,0.4,Bias 2,baseline
41,0.6,Bias 2,baseline
42,0.2,Bias 2,baseline
43,0.2,Bias 2,baseline
44,0.6,Bias 2,baseline
45,0.4,Bias 2,baseline
46,0.4,Bias 2,baseline
47,0,Bias 2,baseline
48,0.2,Bias 2,baseline
49,0.4,Bias 2,baseline
50,0.6,Bias 2,baseline
51,0.6,Bias 2,baseline
52,0.2,Bias 2,baseline
53,0.6,Bias 2,baseline
54,0.4,Bias 2,baseline
55,0.2,Bias 2,baseline
56,0.4,Bias 2,baseline
57,0.4,Bias 2,baseline
58,0.6,Bias 2,baseline
59,0.4,Bias 2,baseline
60,0.2,Bias 2,baseline
61,0.4,Bias 2,baseline
62,0,Bias 2,baseline
63,0,Bias 2,baseline
64,0.6,Bias 2,baseline
65,0.4,Bias 2,baseline
66,0.6,Bias 2,baseline
67,0,Bias 2,baseline
68,0.2,Bias 2,baseline
69,0,Bias 2,baseline
70,0.6,Bias 2,baseline
71,0.4,Bias 2,baseline
72,0.2,Bias 2,baseline
73,0.2,Bias 2,baseline
74,0.4,Bias 2,baseline
75,0.4,Bias 2,baseline
76,0.2,Bias 2,baseline
77,0.4,Bias 2,baseline
78,0.4,Bias 2,baseline
79,0.4,Bias 2,baseline
80,0.6,Bias 2,baseline
81,0.4,Bias 2,baseline
82,0.6,Bias 2,baseline
83,0,Bias 2,baseline
84,0,Bias 2,baseline
85,0.2,Bias 2,baseline
86,0.4,Bias 2,baseline
87,0.8,Bias 2,baseline
88,0.4,Bias 2,baseline
89,0.6,Bias 2,baseline
90,0.4,Bias 2,baseline
91,0.2,Bias 2,baseline
92,0.4,Bias 2,baseline
93,0.2,Bias 2,baseline
94,0,Bias 2,baseline
95,0.6,Bias 2,baseline
96,0,Bias 2,baseline
97,0.8,Bias 2,baseline
98,0,Bias 2,baseline
99,0.4,Bias 2,baseline
100,0.6,Bias 2,baseline
101,0,Bias 2,baseline
102,0.6,Bias 2,baseline
103,0.2,Bias 2,baseline
104,0.6,Bias 2,baseline
105,0.4,Bias 2,baseline
106,0.6,Bias 2,baseline
107,0.4,Bias 2,baseline
108,0.2,Bias 2,baseline
109,0.4,Bias 2,baseline
110,0.2,Bias 2,baseline
111,0.2,Bias 2,baseline
112,0.6,Bias 2,baseline
113,0.4,Bias 2,baseline
114,0.2,Bias 2,baseline
115,0.6,Bias 2,baseline
116,0.2,Bias 2,baseline
117,0.8,Bias 2,baseline
118,0.6,Bias 2,baseline
119,0.2,Bias 2,baseline
120,0.6,Bias 2,baseline
121,0.2,Bias 2,baseline
122,0.4,Bias 2,baseline
123,0.4,Bias 2,baseline
124,0.8,Bias 2,baseline
125,0.4,Bias 2,baseline
126,0.4,Bias 2,baseline
127,0.4,Bias 2,baseline
128,0.4,Bias 2,baseline
129,0.4,Bias 2,baseline
130,0.4,Bias 2,baseline
131,0.2,Bias 2,baseline
132,0.4,Bias 2,baseline
133,0.4,Bias 2,baseline
134,0.6,Bias 2,baseline
135,0.2,Bias 2,baseline
136,0.4,Bias 2,baseline
137,0.2,Bias 2,baseline
138,0.4,Bias 2,baseline
139,0.4,Bias 2,baseline
140,0.4,Bias 2,baseline
141,0.2,Bias 2,baseline
142,0.4,Bias 2,baseline
143,0.4,Bias 2,baseline
144,0.2,Bias 2,baseline
145,0.2,Bias 2,baseline
146,0.2,Bias 2,baseline
147,0.6,Bias 2,baseline
148,0.2,Bias 2,baseline
149,0.4,Bias 2,baseline
150,0.4,Bias 2,baseline
151,0.4,Bias 2,baseline
152,0.8,Bias 2,baseline
153,0.2,Bias 2,baseline
154,0,Bias 2,baseline
155,0.4,Bias 2,baseline
156,0.4,Bias 2,baseline
157,0.4,Bias 2,baseline
158,0.6,Bias 2,baseline
159,0.2,Bias 2,baseline
160,0.4,Bias 2,baseline
161,0.4,Bias 2,baseline
162,0.6,Bias 2,baseline
163,0.6,Bias 2,baseline
164,0.4,Bias 2,baseline
165,0.4,Bias 2,baseline
166,0.2,Bias 2,baseline
167,0.4,Bias 2,baseline
168,0.2,Bias 2,baseline
169,0.6,Bias 2,baseline
170,0.6,Bias 2,baseline
171,0.2,Bias 2,baseline
172,0.6,Bias 2,baseline
173,0.4,Bias 2,baseline
174,0.4,Bias 2,baseline
175,0.2,Bias 2,baseline
176,0.6,Bias 2,baseline
177,0.4,Bias 2,baseline
178,0.4,Bias 2,baseline
179,0.2,Bias 2,baseline
180,0.2,Bias 2,baseline
181,0.4,Bias 2,baseline
182,0.4,Bias 2,baseline
183,0.8,Bias 2,baseline
184,0.4,Bias 2,baseline
185,0.4,Bias 2,baseline
186,0.2,Bias 2,baseline
187,0.2,Bias 2,baseline
188,0.2,Bias 2,baseline
189,0.2,Bias 2,baseline
190,0.4,Bias 2,baseline
191,0.2,Bias 2,baseline
192,0.2,Bias 2,baseline
193,0.2,Bias 2,baseline
194,0.2,Bias 2,baseline
195,0.4,Bias 2,baseline
196,0.6,Bias 2,baseline
197,0.2,Bias 2,baseline
198,0.4,Bias 2,baseline
199,0.4,Bias 2,baseline
200,0.6,Bias 2,baseline
201,0.4,Bias 2,baseline
202,0.6,Bias 2,baseline
203,0.8,Bias 2,baseline
204,0.4,Bias 2,baseline
205,0.6,Bias 2,baseline
206,0,Bias 2,baseline
207,0,Bias 2,baseline
208,0,Bias 2,baseline
209,0.4,Bias 2,baseline
210,0.2,Bias 2,baseline
211,0.2,Bias 2,baseline
212,0.2,Bias 2,baseline
213,0.2,Bias 2,baseline
214,0.4,Bias 2,baseline
215,0.2,Bias 2,baseline
216,0.2,Bias 2,baseline
217,0.6,Bias 2,baseline
218,0.2,Bias 2,baseline
219,0.4,Bias 2,baseline
220,0.6,Bias 2,baseline
221,0,Bias 2,baseline
222,0.2,Bias 2,baseline
223,0.4,Bias 2,baseline
224,0.6,Bias 2,baseline
225,0.4,Bias 2,baseline
226,0.2,Bias 2,baseline
227,0.4,Bias 2,baseline
228,0.4,Bias 2,baseline
229,0.6,Bias 2,baseline
230,0.4,Bias 2,baseline
231,0.2,Bias 2,baseline
232,0.6,Bias 2,baseline
233,0.8,Bias 2,baseline
234,0.4,Bias 2,baseline
235,0.4,Bias 2,baseline
236,0.4,Bias 2,baseline
237,0,Bias 2,baseline
238,0.4,Bias 2,baseline
239,0.2,Bias 2,baseline
240,0.4,Bias 2,baseline
241,0.4,Bias 2,baseline
242,0.6,Bias 2,baseline
243,0.2,Bias 2,baseline
244,0.2,Bias 2,baseline
245,0.6,Bias 2,baseline
246,0.2,Bias 2,baseline
247,0.4,Bias 2,baseline
248,0.2,Bias 2,baseline
249,0.4,Bias 2,baseline
250,0.2,Bias 2,baseline
251,0.6,Bias 2,baseline
252,0.2,Bias 2,baseline
253,0.4,Bias 2,baseline
254,0.4,Bias 2,baseline
255,0.2,Bias 2,baseline
256,0.2,Bias 2,baseline
257,0.2,Bias 2,baseline
258,0.4,Bias 2,baseline
259,0.6,Bias 2,baseline
260,0.4,Bias 2,baseline
261,0,Bias 2,baseline
262,0.2,Bias 2,baseline
263,0.2,Bias 2,baseline
264,0.2,Bias 2,baseline
265,0.2,Bias 2,baseline
266,0,Bias 2,baseline
267,0.4,Bias 2,baseline
268,0.4,Bias 2,baseline
269,0,Bias 2,baseline
270,0.6,Bias 2,baseline
271,0.6,Bias 2,baseline
272,0.6,Bias 2,baseline
273,0.2,Bias 2,baseline
274,0.2,Bias 2,baseline
275,0.4,Bias 2,baseline
276,0.6,Bias 2,baseline
277,0.6,Bias 2,baseline
278,0.4,Bias 2,baseline
279,0.2,Bias 2,baseline
280,0.4,Bias 2,baseline
281,0.2,Bias 2,baseline
282,0.6,Bias 2,baseline
283,0.2,Bias 2,baseline
284,0.2,Bias 2,baseline
285,0.8,Bias 2,baseline
286,0.4,Bias 2,baseline
287,0.2,Bias 2,baseline
288,0.4,Bias 2,baseline
289,0.4,Bias 2,baseline
290,0.2,Bias 2,baseline
291,0.2,Bias 2,baseline
292,0.4,Bias 2,baseline
293,0,Bias 2,baseline
294,0.6,Bias 2,baseline
295,0.4,Bias 2,baseline
296,0.6,Bias 2,baseline
297,0.2,Bias 2,baseline
298,0,Bias 2,baseline
299,0.2,Bias 2,baseline
300,0.4,Bias 2,baseline
301,0.2,Bias 2,baseline
302,0.2,Bias 2,baseline
303,0.2,Bias 2,baseline
304,0,Bias 2,baseline
305,0.2,Bias 2,baseline
306,0.2,Bias 2,baseline
307,0.6,Bias 2,baseline
308,0.2,Bias 2,baseline
309,0.4,Bias 2,baseline
310,0.2,Bias 2,baseline
311,0.2,Bias 2,baseline
312,0.6,Bias 2,baseline
313,0.2,Bias 2,baseline
314,0.2,Bias 2,baseline
315,0.2,Bias 2,baseline
316,0.2,Bias 2,baseline
317,0.4,Bias 2,baseline
318,0.4,Bias 2,baseline
319,0.2,Bias 2,baseline
320,0.4,Bias 2,baseline
321,0.4,Bias 2,baseline
322,0.2,Bias 2,baseline
323,0.6,Bias 2,baseline
324,0.6,Bias 2,baseline
325,0.4,Bias 2,baseline
326,0.2,Bias 2,baseline
327,0.2,Bias 2,baseline
328,0.2,Bias 2,baseline
329,0.6,Bias 2,baseline
330,0.6,Bias 2,baseline
331,0.2,Bias 2,baseline
332,0.6,Bias 2,baseline
333,0.4,Bias 2,baseline
334,0.6,Bias 2,baseline
335,0.4,Bias 2,baseline
336,0.6,Bias 2,baseline
337,0.2,Bias 2,baseline
338,0.4,Bias 2,baseline
339,0.4,Bias 2,baseline
340,0,Bias 2,baseline
341,0.2,Bias 2,baseline
342,0.4,Bias 2,baseline
343,0.8,Bias 2,baseline
344,0.6,Bias 2,baseline
345,0.2,Bias 2,baseline
346,0.2,Bias 2,baseline
347,0.4,Bias 2,baseline
348,0.6,Bias 2,baseline
349,0.2,Bias 2,baseline
350,0.4,Bias 2,baseline
351,0.6,Bias 2,baseline
352,0.6,Bias 2,baseline
353,0.2,Bias 2,baseline
354,0.2,Bias 2,baseline
355,0.2,Bias 2,baseline
356,0.4,Bias 2,baseline
357,0.4,Bias 2,baseline
358,0.2,Bias 2,baseline
359,0.8,Bias 2,baseline
360,0.2,Bias 2,baseline
361,0,Bias 2,baseline
362,0.2,Bias 2,baseline
363,0.4,Bias 2,baseline
364,0.2,Bias 2,baseline
365,0.2,Bias 2,baseline
366,0.4,Bias 2,baseline
367,0.6,Bias 2,baseline
368,0.4,Bias 2,baseline
369,0.4,Bias 2,baseline
370,0.4,Bias 2,baseline
371,0.4,Bias 2,baseline
372,0.2,Bias 2,baseline
373,0.4,Bias 2,baseline
374,0.6,Bias 2,baseline
375,0.4,Bias 2,baseline
376,0.4,Bias 2,baseline
377,0.2,Bias 2,baseline
378,0.2,Bias 2,baseline
379,0.2,Bias 2,baseline
380,0.2,Bias 2,baseline
381,0.2,Bias 2,baseline
382,0.2,Bias 2,baseline
383,0.4,Bias 2,baseline
384,0.8,Bias 2,baseline
385,0.6,Bias 2,baseline
386,0.2,Bias 2,baseline
387,0.4,Bias 2,baseline
388,0.4,Bias 2,baseline
389,0.4,Bias 2,baseline
390,0.2,Bias 2,baseline
391,0.2,Bias 2,baseline
392,0,Bias 2,baseline
393,0.4,Bias 2,baseline
394,0.2,Bias 2,baseline
395,0.2,Bias 2,baseline
396,0.6,Bias 2,baseline
397,0.4,Bias 2,baseline
398,0.6,Bias 2,baseline
399,0.4,Bias 2,baseline
400,0.2,Bias 2,baseline
0,0.4,Bias 5,baseline
1,0.8,Bias 5,baseline
2,0.6,Bias 5,baseline
3,0.2,Bias 5,baseline
4,0.4,Bias 5,baseline
5,0.2,Bias 5,baseline
6,0.8,Bias 5,baseline
7,0,Bias 5,baseline
8,0,Bias 5,baseline
9,0,Bias 5,baseline
10,0.8,Bias 5,baseline
11,0.6,Bias 5,baseline
12,0.2,Bias 5,baseline
13,0,Bias 5,baseline
14,0.6,Bias 5,baseline
15,0.8,Bias 5,baseline
16,0.6,Bias 5,baseline
17,0.6,Bias 5,baseline
18,0.4,Bias 5,baseline
19,0.4,Bias 5,baseline
20,0.6,Bias 5,baseline
21,0.6,Bias 5,baseline
22,0.2,Bias 5,baseline
23,0.2,Bias 5,baseline
24,0.6,Bias 5,baseline
25,0.2,Bias 5,baseline
26,0.6,Bias 5,baseline
27,0.4,Bias 5,baseline
28,0.8,Bias 5,baseline
29,0.2,Bias 5,baseline
30,0.4,Bias 5,baseline
31,0.4,Bias 5,baseline
32,0.6,Bias 5,baseline
33,0.4,Bias 5,baseline
34,0.4,Bias 5,baseline
35,0.4,Bias 5,baseline
36,0.4,Bias 5,baseline
37,0.4,Bias 5,baseline
38,0.4,Bias 5,baseline
39,0.8,Bias 5,baseline
40,0.2,Bias 5,baseline
41,0.2,Bias 5,baseline
42,0,Bias 5,baseline
43,0.2,Bias 5,baseline
44,0.2,Bias 5,baseline
45,0.2,Bias 5,baseline
46,0.4,Bias 5,baseline
47,0.2,Bias 5,baseline
48,0.6,Bias 5,baseline
49,0.2,Bias 5,baseline
50,0.6,Bias 5,baseline
51,0.4,Bias 5,baseline
52,0.2,Bias 5,baseline
53,0.4,Bias 5,baseline
54,0.6,Bias 5,baseline
55,0.2,Bias 5,baseline
56,0.6,Bias 5,baseline
57,0.6,Bias 5,baseline
58,0.6,Bias 5,baseline
59,0.6,Bias 5,baseline
60,0.2,Bias 5,baseline
61,0.6,Bias 5,baseline
62,0.4,Bias 5,baseline
63,0.6,Bias 5,baseline
64,0.6,Bias 5,baseline
65,0.6,Bias 5,baseline
66,0.6,Bias 5,baseline
67,0.4,Bias 5,baseline
68,0.6,Bias 5,baseline
69,0.4,Bias 5,baseline
70,0.6,Bias 5,baseline
71,0.6,Bias 5,baseline
72,0.4,Bias 5,baseline
73,0.6,Bias 5,baseline
74,0.4,Bias 5,baseline
75,0.4,Bias 5,baseline
76,0.6,Bias 5,baseline
77,0.4,Bias 5,baseline
78,0.4,Bias 5,baseline
79,0.6,Bias 5,baseline
80,0.2,Bias 5,baseline
81,0.4,Bias 5,baseline
